#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Thu Nov 04 15:36:32 EDT 2021,0,0,TestLispFileProvided, , ,TestLispFileProvided+ ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker ClassRegistryProvided CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker F21A5NoCheckstyleWarnings GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LoadChecker LorETestedChecker LorETestedTwoResultsChecker MainClassProvided NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker ,0,0,false, , , ,TestLispFileProvided-(0.0/0.0) , ,
1,Thu Nov 04 15:36:37 EDT 2021,4,4,LispInterpreterRequiredClassesSuite,ClassRegistryProvided+ MainClassProvided+ , ,TestLispFileProvided ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker F21A5NoCheckstyleWarnings GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LoadChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker ,0,1,true,ClassRegistryProvided MainClassProvided , , ,ClassRegistryProvided-(0.0/0.0) MainClassProvided-(0.0/0.0) , ,
2,Thu Nov 04 15:45:30 EDT 2021,4,0,LispInterpreterRequiredClassesSuite,ClassRegistryProvided MainClassProvided , ,TestLispFileProvided ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker F21A5NoCheckstyleWarnings GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LoadChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker ,1,0,true,ClassRegistryProvided MainClassProvided , , ,ClassRegistryProvided-(0.0/0.0) MainClassProvided-(0.0/0.0) , ,
3,Thu Nov 04 15:45:35 EDT 2021,4,0,TestLispFileProvided,ClassRegistryProvided MainClassProvided , ,TestLispFileProvided ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker F21A5NoCheckstyleWarnings GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LoadChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker ,1,1,false, , , ,TestLispFileProvided-(0.0/0.0) , ,
4,Thu Nov 04 15:45:39 EDT 2021,4,0,LispInterpreterLoadSuite,ClassRegistryProvided MainClassProvided , ,CondTestedChecker+ CondTestedResultsChecker+ ConsTestedChecker+ ConsTestedTwoResultsChecker+ EvalTestedChecker+ EvalTestedTwoResultsChecker+ ListTestedChecker+ ListTestedTwoResultsChecker+ LoadChecker+ QuoteTestedChecker+ QuoteTestedTwoResultsChecker+ TestLispFileProvided ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker F21A5NoCheckstyleWarnings GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker ,1,2,true,CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker LoadChecker QuoteTestedChecker QuoteTestedTwoResultsChecker , , ,CondTestedChecker-(0.0/10.0) CondTestedResultsChecker-(0.0/20.0) ConsTestedChecker-(0.0/10.0) ConsTestedTwoResultsChecker-(0.0/10.0) EvalTestedChecker-(0.0/10.0) EvalTestedTwoResultsChecker-(0.0/10.0) ListTestedChecker-(0.0/10.0) ListTestedTwoResultsChecker-(0.0/10.0) LoadChecker-(0.0/0.0) QuoteTestedChecker-(0.0/10.0) QuoteTestedTwoResultsChecker-(0.0/10.0) , ,
5,Thu Nov 04 15:45:42 EDT 2021,4,0,LispInterpreterLoadLogicalSuite,ClassRegistryProvided MainClassProvided , ,AndTestedChecker+ AndTestedTwoResultsChecker+ CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker LoadChecker NotTestedChecker+ NotTestedTwoResultsChecker+ OrTestedChecker+ OrTestedTwoResultsChecker+ QuoteTestedChecker QuoteTestedTwoResultsChecker TestLispFileProvided ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker F21A5NoCheckstyleWarnings GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LorETestedChecker LorETestedTwoResultsChecker ,1,3,true,AndTestedChecker AndTestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker , , ,AndTestedChecker-(0.0/10.0) AndTestedTwoResultsChecker-(0.0/10.0) NotTestedChecker-(0.0/10.0) NotTestedTwoResultsChecker-(0.0/10.0) OrTestedChecker-(0.0/10.0) OrTestedTwoResultsChecker-(0.0/10.0) , ,
6,Thu Nov 04 15:45:44 EDT 2021,4,0,LispInterpreterLoadRelationSuite,ClassRegistryProvided MainClassProvided , ,AndTestedChecker AndTestedTwoResultsChecker CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker+ GorETestedTwoResultsChecker+ GreaterTestedChecker+ GreaterTestedTwoResultsChecker+ LessTestedChecker+ LessTestedTwoResultsChecker+ ListTestedChecker ListTestedTwoResultsChecker LoadChecker LorETestedChecker+ LorETestedTwoResultsChecker+ NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker TestLispFileProvided ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker F21A5NoCheckstyleWarnings ListToStringChecker ListToStringDeepChecker ,1,4,true,GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker LorETestedChecker LorETestedTwoResultsChecker , , ,GorETestedChecker-(0.0/10.0) GorETestedTwoResultsChecker-(0.0/10.0) GreaterTestedChecker-(0.0/10.0) GreaterTestedTwoResultsChecker-(0.0/10.0) LessTestedChecker-(0.0/10.0) LessTestedTwoResultsChecker-(0.0/10.0) LorETestedChecker-(0.0/10.0) LorETestedTwoResultsChecker-(0.0/10.0) , ,
7,Thu Nov 04 15:45:49 EDT 2021,4,0,ToStringSuite,ClassRegistryProvided MainClassProvided , ,AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker+ BaseCaseSExpressionToStringChecker+ CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker ListToStringChecker+ ListToStringDeepChecker+ LoadChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker TestLispFileProvided ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride F21A5NoCheckstyleWarnings ,1,5,true,BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker ListToStringChecker ListToStringDeepChecker , , ,BaseCaseListToStringChecker-(0.0/10.0) BaseCaseSExpressionToStringChecker-(0.0/10.0) ListToStringChecker-(0.0/30.0) ListToStringDeepChecker-(0.0/10.0) , ,
8,Thu Nov 04 15:46:07 EDT 2021,4,0,ListTestedChecker,ClassRegistryProvided MainClassProvided , ,AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LoadChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker TestLispFileProvided ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride F21A5NoCheckstyleWarnings ,1,6,false, , , ,ListTestedChecker-(0.0/10.0) , ,
9,Thu Nov 04 15:46:22 EDT 2021,4,0,LispInterpreterLoadSuite,ClassRegistryProvided MainClassProvided , ,AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LoadChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker TestLispFileProvided ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride F21A5NoCheckstyleWarnings ,2,0,true,CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker LoadChecker QuoteTestedChecker QuoteTestedTwoResultsChecker ,ClassRegistryProvided MainClassProvided TestLispFileProvided , ,CondTestedChecker-(0.0/10.0) CondTestedResultsChecker-(0.0/20.0) ConsTestedChecker-(0.0/10.0) ConsTestedTwoResultsChecker-(0.0/10.0) EvalTestedChecker-(0.0/10.0) EvalTestedTwoResultsChecker-(0.0/10.0) ListTestedChecker-(0.0/10.0) ListTestedTwoResultsChecker-(0.0/10.0) LoadChecker-(0.0/0.0) QuoteTestedChecker-(0.0/10.0) QuoteTestedTwoResultsChecker-(0.0/10.0) , ,
